"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","left_right_width","match",19,4,3,1.1166927999584,0.6,0.55,0.5,0.55,2.03276610001922,2.35,"exp2",-1,-0.05,-0.25,0.909090909090909,2.2,1.5,-0.7,-0.090909090909091,0.05
"p301","left_right_width","match",20,4,3,1.43307159998221,0.6,0.25,0.3,0.55,2.63719049998326,2.05,"exp2",-1,0.05,-0.25,1.2,1,0.9,-0.0999999999999999,0.2,0.05
"p301","left_right_width","match",21,5,4,1.06827639997937,0.825,0.25,0.2,0.25,1.40736250003101,3.55,"exp2",-1,-0.05,-0.2,0.8,1.25,0.8,-0.45,-0.2,0.05
"p301","left_right_width","match",22,4,4,1.28003299998818,0.783333333333333,0.25,0.2,0.35,1.69167470000684,2.6,"exp2",0,-0.05,0,0.8,1,0.8,-0.2,-0.2,0.05
"p301","left_right_width","initial",23,4,3,1.15067789994646,1.1,0.25,0.25,0.4,2.24069080001209,3.55,"exp2",-1,5.55111512312578e-17,-0.25,1,1,0.75,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",24,3,3,0.76536139997188,1.1,0.25,0.2,0.4,1.62923530000262,2.45,"exp2",0,-0.0499999999999999,0,0.8,0.75,0.6,-0.15,-0.2,0.0499999999999999
"p301","left_right_width","initial",25,4,3,2.01618219999364,0.9,0.4,0.35,0.5,2.30259690003004,3.1,"exp2",-1,-0.05,-0.25,0.875,1.6,1.05,-0.55,-0.125,0.05
"p301","left_right_width","match",26,4,3,1.43941310001537,0.6,0.4,0.3,0.3,4.22870219999459,2.2,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
"p301","left_right_width","match",27,5,3,1.95111620001262,0.825,0.55,0.3,0.3,1.55100429995218,3.85,"exp2",-2,-0.25,-0.4,0.545454545454545,2.75,0.9,-1.85,-0.454545454545455,0.25
"p301","left_right_width","match",28,3,3,1.04309300001478,2.2,0.25,0.2,0.4,3.14385729999049,4.65,"exp2",0,-0.0499999999999999,0,0.8,0.75,0.6,-0.15,-0.2,0.0499999999999999
"p301","left_right_width","match",29,5,4,1.23278989997925,0.675,0.55,0.35,0.25,1.2949876000057,3.25,"exp2",-1,-0.2,-0.2,0.636363636363636,2.75,1.4,-1.35,-0.363636363636364,0.2
"p301","left_right_width","match",30,3,3,0.686098500038497,1.8,0.55,0.35,0.35,1.73036980000325,4.15,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","initial",31,4,3,0.730149700015318,0.9,0.25,0.25,0.55,2.42778059997363,2.95,"exp2",-1,5.55111512312578e-17,-0.25,1,1,0.75,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","match",32,4,3,0.684862800000701,0.733333333333333,0.25,0.2,0.5,2.12721970002167,2.45,"exp2",-1,-0.0499999999999999,-0.25,0.8,1,0.6,-0.4,-0.2,0.0499999999999999
